Tag,Year,Title,Details,Size,City,State,City_State,Latitude,Longitude
Leader,1852,Peter J. McGuire,"The ""father"" of Labor Day and May Day who championed the need for a national labor federation.",1,New York,NY,New York_NY,40.6943,-73.9249
Leader,1894,George Meany,The builder of the modern AFL-CIO.,1,New York,NY,New York_NY,40.6943,-73.9249
Leader,1886,Philip Murray,CIO president who helped transform the industrial union movement into a stable and powerful organization.,1,San Francisco,CA,San Francisco_CA,37.7562,-122.443
Leader,1880,Frances Perkins,Committed labor secretary and first woman in a presidential Cabinet position.,1,Boston,MA,Boston_MA,42.3188,-71.0846
Leader,1906,Esther Eggertsen Peterson,"Eloquent and effective advocate for the rights of workers, women and consumers.",1,Provo,UT,Provo_UT,40.2457,-111.6457
Leader,1889,A. Philip Randolph,Organized the Brotherhood of Sleeping Car Porters and fought discrimination in national defense.,1,Crescent City,FL,Crescent City_FL,29.4375,-81.5173
Leader,1907,Walter Reuther,"Longtime president of the UAW and was considered the model of a reform-minded, liberal trade unionist.",1,Wheeling,WV,Wheeling_WV,40.0752,-80.6951
Leader,1912,Bayard Rustin,"Brilliant theorist, tactician and organizer and first head of the A. Philip Randolph Institute.",1,West Chester,PA,West Chester_PA,39.9601,-75.6058
Organization,1907,Industrial Workers of the World Local Chapters,Local No. 264 - (unknown) active 1907; Local No. 422 - (unknown) active 1908;,2,Nome,AK,Nome_AK,64.5213,-165.4053
Organization,1906,Industrial Workers of the World Local Chapters,Local No. 3 - Arizona State Union of the Department of Mining (mining-metals) active 1906-1907; Local No. 272 - (unknown) Secretary: F. Velarde active 1907-1911; Local No. 314 - (unknown) active 1907; Local No. 416 - (unknown) active 1908; Local No. 273 - (unknown) Secretary: W. Welch active 1909-1910; Local No. 272 branch 2 - Spanish branch (unknown) active 1910; Local No. 594 - Oatman Industrial Union (unknown) Secretary: Dick Highfield active 1915-1917; Local No. 65 - (unknown) Secretary: Sebla Maxwell active 1916-1917; Local No. 106 - Metal Mine Workers' Industrial Union Local No. 106 (mining-metals) active 1917; I.U. 800 - Metal Mine Workers' Industrial Union No. 800 (mining-metals) Secretary: Grover H. Perry active 1917; ,10,Bisbee,AZ,Bisbee_AZ,31.4126,-109.9179
Organization,1915,Industrial Workers of the World Local Chapters,Local No. 591 - Texarkana Industrial Union (unknown) active 1915,1,Texarkana,AR,Texarkana_AR,33.4361,-93.996
Organization,1907,Industrial Workers of the World Local Chapters,"Local No. 330 - active 1907; Local No. 233 - active 1907; Local No. 12 - Secretary: Wm. Allen active 1907-1911; Local No. 13 branch 1 - active 1907; Local No. 524 - active 1907; Local No. 222 branch 2 - active 1907; Local No. 233 - active 1907; Local No. 87 - (Transportation) Chartered 1907 active 1907-1908; Local No. 236 - active 1907-1908; Local No. 139 - active 1907; Local No. 245 - active 1907; Local No. 173 - (mixed local) Secretary: J. Lebon active 1907-1917; Local No. 31 - active 1907; Local No. 363 - active 1907; Local No. 501 Branch 1 - Bulding Constructors' Industrial Union (Construction) active 1907; Local No. 503 - (Construction) active 1907; Local No. 57 - active 1907; Local No. 191 - active 1907; Local No. 195 - active 1907; Local No. 35 - active 1907; Local No. 533 - Transportation Workers' Industrial Union (Transportation) active 1907-1908; Local No. 527 - active 1907; Local No. 62 - active 1907; Local No. 373 - active 1907; Local No. 283 - active 1907-1908; Local No. 437 - active 1908-1911; Local No. 419 - Secretary: R. Vere active 1908-1911- (Agriculture) active 1909-1910- (Public service) active 1909-1910; Local No. 437, branch 2 - Secretary: J.H. Sanderson active 1910; Local No. 66 - (mixed local) Secretary: W.F. Little (1910), J. Manning (1917) active 1910-1915; Local No. 437 - Secretary: Peter LeBlanc active 1910; Local No. 437, branch 4 - Secretary: Wm. Stanley active 1910; Local No. 1 - Secretary: George Paff active 1910-1911; Local No. 18 - Secretary: W.R. Sautter active 1910; Local No. 63 - Secretary: Wm. Erickson active 1910-1911; Local No. 174 - (mixed local) Secretary: G. Mays (1910), E.G. Flunkett (1917) active 1910-1917; Local No. 13 - Secretary: Benson Jaynes active 1910-1912; Local No. 245 - Secretary: Fred Herrmann active 1910-1913; Local No. 14 - active 1911; Local No. 44 - active 1911; Local No. 13 - active 1911; Local No. 246 - Marine Transport Workers' Industrial Union (Marine transport) Chartered 10/1911 active 1911-1912; Local No. 12 - active 1911; Local No. 373 - active 1911; Local No. 173 Latin branch 2 - Chartered 08/1911 active 1911-1912; Local No. 407 - Bakery Workers' Industrial Union (Baking) Chartered 09/1911 active 1911-1912; Local No. 439 - (mixed local) Secretary: Herman Kubow (1915), J. Miller (1917) active 1912-1917; Local No. 173 - active 1912; Local No. 453 - Oil Workers' Industrial Union (Oil) ""not in good condition"" in 1916 active 1913-1917; Local No. 431 - (Lumber) Secretary: F. Wahander active 1914-1917; - Italian Propaganda League (Propaganda) active 1914; Local No. 103 - (mixed local) active 1914; Propaganda League - (Propaganda) active 1914; Local No. 313 - (mixed local) Secretary: Dan Buckley (1916), Carl Kuhlmann (1917) active 1914-1917; Local No. 88 - (mixed local) Secretary: Carl Kuhlman active 1914-1917; Local No. 334 - (mixed local) Secretary: C.L. Lambert active 1914-1917; Local No. 489 - (mixed local) Secretary: C.L. Lambert active 1914-1917; Local No. 71 - (mixed local) Secretary: C.L. Lambert active 1914-1917; Local No. 107 - (mixed local) active 1914; Local No. 147 - (Construction) active 1914-1915; Local No. 173 Branch 2 - (mixed local) Secretary: O. Banisie active 1914-1917; Local No. 3 - (Garment) active 1914; Local No. 8 - (Musicians) active 1914; Local No. 9 - (Marine transport) Secretary: George Speed active 1914-1917; - Women's Propaganda League (Propaganda) Secretary: Gertrude F. Cottle active 1914-1917; Local No. 5 - Steamboat & Barge Workers' Industrial Union (Marine transport) Secretary: Louis Moreau active 1914-1917; Local No. 73 - (mixed local) Secretary: A. Strickland (1915), Alex Michael (1917) active 1914-1917; Local No. 602 - Recruiting Local Industrial Union (Recruiting) active 1915; Local No. 150 - active 1915; Local No. 444 - Agricultural Workers' Industrial Union (Agriculture) active 1915; Local No. 499 - Recruiting Local Industrial Union (Recruiting) active 1915; Local No. 481 - Lumber Workers' Industrial Union No. 481 (Lumber) active 1916; Local No. 449 - Seal Fishermen Industrial Union (Fishing) active 1916; Local No. 313 Branch 1 - Metal Mine & Smelter Workers' Industrial Union (Metal workers) active 1916; Local No. 426 - Secretary: M. Fissinini active 1917; A.W.O. 400 - Agricultural Workers' Organization No. 400 (Agriculture) active 1917; Local No. 603 - Secretary: John Trey active 1917; Local No. 174, branch 4 - Secretary: F. W. Newlander active 1917; Local No. 489 - Secretary: Walter Nudel active 1917- (Marine Transport) Secretary: Frank Wood active 1917",81,Eureka,CA,Eureka_CA,40.7942,-124.1568
Organization,1905,Industrial Workers of the World Local Chapters,"Local No. 35 - active 1905-1907; Local No. 144 - Power Workers (Utlities) active 1906-1907; Local No. 302 - active 1907; Local No. 237 - active 1907; - Industrial Council (District Council or grouped locals) active 1907; Local No. 11 - (Transporation) active 1907-1908; Local No. 125 - active 1907-1908; Local No. 15 - (Blacksmiths and Helpers) active 1907-1908; Local No. 488 - active 1907; Local No. 508 - IUB received money from the ""defunct"" local active 1907; Local No. 555 - active 1907; Local No. 180 - active 1907; Local No. 112 - active 1907-1908; Local No. 32 - active 1907; Local No. 4 - active 1908; Local No. 408 - active 1908; Local No. 26 - (mixed local) Secretary: Harry Weinstelu active 1910-1915; Local No. 241 - Coal Miners' Industrial Union (Mining-coal) Secretary: L.C. Carlin active 1914-1917; Local No. 113 - Domestic Workers' Industrial Union (Domestic) active 1916; Local No. 404 - Domestic Workers' Industrial Union No. 404 (Domestic) active 1916",20,Grand Junction,CO,Grand Junction_CO,39.0876,-108.5673
Organization,1906,Industrial Workers of the World Local Chapters,Local No. 176 - Silk Workers (Textile) active 1906-1907; Local No. 190 - Silk Workers (Textile) active 1906-1907; Local No. 313 - Paper Makers (Other manufacturing) active 1906-1907; Local No. 113 - Metal and Machinery Workers' Industrial Union (Metal and Machinery) Chartered 06/1907 active 1907; Local No. 266 - (Mixed local) active 1907; Local No. 160 - (unknown) active 1907; Local No. 69 - (Machinists) active 1907-1914; Local No. 295 - (unknown) active 1907; unknown - (Railroad) active 1909-1910; Local No. 433 - (Textile) Secretary: S. Martinelli active 1909-1910; Local No. 244 - Transportation Workers' Industrial Union (Transportation) active 1910-1911; Local No. 187 - Clothing Workers' Industrial Union (Clothing) active 1910-1911; Local No. 112 - (mixed local) active 1914; Local No. 303 - (Textile) Secretary: Edward Laperle active 1914-1917; Local No. 35 - (Textile) active 1914; Local No. 535 - (Textile) Secretary: Joseph Makevich active 1914 - 1917; Local No. 310 - Metal & Machinery Workers' Industrial Union (Metal workers) Secretary: Joseph Minicuoci active 1915-1917;,17,New Haven,CT,New Haven_CT,41.3112,-72.9246
Organization,1913,Industrial Workers of the World Local Chapters,"Local No. 102 - (Cigarmakers) active 1913-1914; Local No. 108 - (mixed local) Secretary: Santiago Garcia active 1914-1917; Local No. 601 - Fish, Oyster & Shrimp Workers' Industrial Union (Fishing) Secretary: F. H. Pleeger active 1915-1917; Local No. 103 - (unknown) Secretary: Salvador Martino active 1917;",4,Tampa,FL,Tampa_FL,27.9942,-82.4451
Organization,1909,Industrial Workers of the World Local Chapters,unknown - (Agriculture) active 1909-1910; unknown - (Construction) active 1909-1910; Local No. 136 - (Building Constructors) active 1910; Local No. 126 - (unknown) active 1911; Local No. 428 - (unknown) active 1911;,5,Honolulu,HI,Honolulu_HI,21.3294,-157.846
Organization,1911,Industrial Workers of the World Local Chapters,Local No. 59 - (unknown) Chartered 08/1911 active 1911-1912; - Wallace Propaganda League (Propaganda) Secretary: Edward Bens active 1914-1917;,2,Boise,ID,Boise_ID,43.6007,-116.2312
Organization,1906,Industrial Workers of the World Local Chapters,"Local No. 263 - Hotel and Restaurant Employees (Public Service) active 1906-1907; Local No. 299 - Window Washers (Construction) active 1906-1907; Local No. 83 - Bartenders and Waiters (Public Service) active 1906-1907; Local No. 162 - (unknown) active 1907; Local No. 17 - (Transportation) active 1907-1908; - Chicago Scandinavian Branch 2 (mixed local) active 1907; Local No. 167 - (unknown) Secretary: A. Simpson active 1907-1910; Local No. 23 - (Machinists) active 1907; Local No. 52 - (Machinery) active 1907; Local No. 52 - (Machinists) active 1907; Local No. 531 branch 1 - (Clothing) active 1907; Local No. 538 - Chicago Ladies' Tailors Industrial Union (Tailors) active 1907; Local No. 539 branch 1 - Clothing Workers' Industrial Union (Clothing) active 1907; Local No. 550 - (Steel) active 1907; Local No. 62 - (Machinists) active 1907; Local No. 83 - Alemania Industrial Union (mixed local) active 1907; Local No. 85 - (mixed local) Secretary: Ralph Chaplin active 1907-1915; Local No. 367 - (unknown) active 1907; Local No. 300 - (unknown) active 1907; Local No. 503 Branch 1 - (unknown) active 1907; Local No. 174 - (unknown) active 1907-1908; Local No. 531 - (unknown) active 1907; Local No. 169 - (unknown) active 1907; Local No. 500 - Transportation Workers' Industrial Union (Transportation) Secretary: W.D. Borger (1909), F. Wessesuski active 1907-1917; Local No. 353 - (unknown) active 1907; Local No. 353 branch 2 - (unknown) active 1907; Local No. 172 - (unknown) active 1907; Local No. 556 - (unknown) active 1908; Local No. 233 - (unknown) Secretary: F. Balzano active 1909; Local No. 85 Branch 2 - (mixed local) Secretary: K. Rathje (1909), Geo. B. Stone (1917) active 1909-1917; Local No. 85 Branch 3 - (mixed local) Secretary: E. Janicki (1909), Peter P. Montville (1917) active 1909-1917; Local No. 85, branch 1 - (unknown) Secretary: R. Stromberg active 1909-1910; unknown - (Clothing) active 1909-1910; unknown - (Show workers) active 1909-1910; unknown - (Steel workers) active 1909-1910; Local No. 302 - (RR car builders) active 1909-1910; unknown - (Steel workers) active 1909-1910; Local No. - (Metal workers) active 1909-1911; Propaganda League - (mixed local) Secretary: Paul Trice active 1910-1914; Local No. 19 - Metal & Machinery Workers' Industrial Union (Metal and Machinery) active 1910; I.U. 303 Croation Branch - Steel Workers' Industrial Union (Steel) active 1910; Local No. 144 - (mixed local) Secretary: Joe Rada active 1911-1917; Local No. 144 branch 2 - Packing House Workers' Industrial Union (Packing House Workers) Chartered 09/1911 active 1911-1912; Local No. 144 Branch 3 - (Packing house workers) active 1911-1914; Local No. 250 - Railroad Workers' Industrial Union (Railroad) Chartered 10/1911 active 1911-1912; Local No. 3 - Metal and Machinery Workers' Industrial Union (Metal and machinery) Chartered 08/1911 active 1911-1912; Local No. 363 - (unknown) active 1911; Local No. 526 - Amusement Workers' Industrial Union (Theatre) Chartered 10/1911 active 1911-1912; Local No. 85 branch 4 - (unknown) Chartered 11/1911 active 1911-1912; Local No 242 - Coal Miners' Industrial Union (Mining-coal) Secretary: Henry Szewezyk. Chartered 11/1911 active 1911-1917; Local No. 341 - (Railroad construction) active 1913-1915; Local No. 526 Theatre Branch 2 - (Theatrical Amusement Workers) Left AFL for IWW in 10/1913 active 1913; Local No. 67 - (unknown) active 1913; Local No. 3 Branch 2 - (mixed local) active 1914; Local No. 593 - Chicago West Side Industrial Union (unknown) Secretary: J. Legutanke active 1914-1917; Local No. 85 Branch 5 - (mixed local) active 1914; Local No. 85 Branch 6 - (mixed local) Secretary: B. Schatz active 1914-1917; Local No. 480 - Furniture Workers' Industrial Union (Furniture) Secretary: Cornelius Carlson active 1914-1919; I.U. 600 - Railroad Workers' Industrial Union No. 600 (Railroad) active 1915-1919; Local No. 65 - Jewish Branch no. 6 (unknown) active 1915; Local No. 85 Hungarian Branch 7 - (unknown) Secretary: Steve Gyürfe active 1915-1917; Local No. 480 Lithuanian Branch 2 - (unknown) active 1915; active 1916; I.U. 300 - Metal and Machinery Workers' Industrial Union No. 300 (Metal workers) active 1916-1917; Local No. 604 - (Recruiting) active 1916; Local No. 608 - (Hospitality) active 1916; Local No. 609 - Packing House Workers' Industrial Union (Packing house) active 1916; Local No. 85 Lithuanian Branch 8 - (unknown) active 1916; Local No. 267 - Car Repair Workers' Industrial Union (Car repair) active 1916; Local No. 574 - Construction Workers' Industrial Union (Construction) active 1916; I.U. 200 - Marine Transport Workers No. 200 (Marine Transport) active 1917; Local No. 303 - Macaroni Workers' Industrial Union No. 303 (Macaroni) active 1917; Local No. 480, branch 3 - (unknown) Secretary: Harrison Haight active 1917; - Chicago Recruiting Union (mixed local) active 1919; - Finnish Branch of Hotel, Restaurant, and Domestic Workers' Industrial Union (Hotel, Restaurant, and Domestic) active 1919; - Finnish Recruiting Union (mixed local) active 1919; - Swedish Branch of the Hotel, Restaurant, and Domestic Workers' Industrial Union (Hotel, Restaurant, and Domestic) active 1919; Local No. 1000 - Textile Workers' Industrial Union (Textile) active 1919; Local No. 113 - (Machinists) active 1919; Local No. 1200 - Printing and Publishing Workers' Industrial Union (Printing and publishing) active 1919; Local No. 134 - (Machinists) active 1919; Local No. 229 - (Machinists) active 1919; Local No. 5 - (Capmakers) active 1919; Local No. 573 - Construction Workers' Industrial Union (Construction) active 1919; Local No. 1100 - Hotel, Restaurant, and Domestic Workers' Industrial Union (Hotel, Restaurant, and Domestic) active 1919;",85,Chicago,IL,Chicago_IL,41.8373,-87.6862
Organization,1907,Industrial Workers of the World Local Chapters,"Local No. 311 - (unknown) active 1907; Local No. 12 - (Transportation) active 1907; Local no. 96 - (unknown) active 1907; Local No. 537 - (unknown) active 1907; Local No. 541 - (unknown) active 1907; Local No. 260 - (unknown) active 1907; Local No. 390 - (unknown) active 1907; Local No. 360 - (unknown) active 1907-1908; unknown - (Metal workers) active 1909-1910; unknown - (RR car builders) active 1909-1910; unknown - (Metal workers) active 1909-1910; Local No. 201 - (unknown) Secretary: W.H. Barber active 1910; Local No. 301 - (unknown) Secretary: John Hermann active 1910; Local No. 138 - Coal Miners' Industrial Union (Mining-coal) active 1910; Local No. 200 - (unknown) Secretary: Henry Hahn active 1910; Local No. 225 - (unknown) active 1911; Local No. 52 - (unknown) active 1913; Local No. 105 - (mixed local) active 1914; Local No. 52 - (mixed local) active 1914; Local No. 306 - Iron, Steel & Tin Plate Workers' Industrial Union (Metal workers) active 1915; Local No. 611 - (Recruiting) active 1916; Local No. 600 - (unknown) Secretary: W. A. Cornland active 1917;",22,Greenwood,IN,Greenwood_IN,39.6019,-86.1073
Organization,1907,Industrial Workers of the World Local Chapters,"Local No. 139 - (unknown) Secretary: Ben Limberger active 1909-1910; unknown - (Construction) active 1909-1910; Local No. 129 - (unknown) active 1911; Local No. 577 - (unknown) active 1913; Propaganda League - (mixed local) active 1914-1915; Local No. 577 - (mixed local) Secretary: Charles Schmidt active 1914-1917; Local No. 592 - Sioux City Industrial Union (Lumber) Secretary: Edmond Stafford (1915), Alex Miller (1917) active 1915-1917; Local No. 142 - (Packing House) Added to the IWW in December of 1916 active 1916; Local No. 573 - Construction Workers' Industrial Union (Construction) active 1919; Local No. 400 - Agricultural Workers' Industrial Union (Agriculture) active 1919 ",10,Sioux City,IA,Sioux City_IA,42.4959,-96.3901
Organization,1906,Industrial Workers of the World Local Chapters,unknown - Miners (mining) active 1906-1907; unknown - Miners (mining) active 1906-1907; Local No. 520 - (unknown) active 1907; Local No. 124 - (unknown) Chartered 06/1907 active 1907; Local No. 212 - (unknown) active 1907; Local No. 205 - (unknown) active 1907; Local No. 224 - (Baking) active 1907; Local No. 548 - (Machinists) active 1907; Local No. 61 - (Brick workers) active 1907; Local No. 146 - (mixed local) active 1914;,11,Chicopee,KS,Chicopee_KS,37.3834,-94.7443
Organization,1907,Industrial Workers of the World Local Chapters,Local No. 31 - (unknown) active 1907-1908; Local No. 546 - (unknown) active 1907; Local No. 73 - (unknown) active 1907;,3,Louisville,KY,Louisville_KY,38.1663,-85.6485
Organization,1907,Industrial Workers of the World Local Chapters,Local No. 289 - (unknown) active 1907-1908; Local No. 289 branch 2 - (unknown) active 1907; Local No. 38 - (unknown) Secretary: F. Albera active 1907-1910; Local No. 282 - (Lumber) Secretary: A. L. Churchill active 1914-1917; Local No. 7 - (Marine transport) active 1914 ,5,Lake Charles,LA,Lake Charles_LA,30.2012,-93.2122
Organization,1914,Industrial Workers of the World Local Chapters,"Local No. 192 - (Textile) Secretary: Ignatius Legis active 1914-1917; Local No. 192 Branch 2 - (Textile) Secretary: Jos. Naikus active 1914-1917; Local No. 192 Branch 5 - Ladies' Tailors (Clothing) active 1914; Local No. 275 - (Tobacco) active 1914; Local No. 371 - (mixed local) Secretary: Alfredo Fratessi active 1914-1917; I.U. 600 - Railroad Workers' Industrial Union (Railroad) active 1916; Local No. 148 - (unknown) Secretary: Chas. Black active 1917; Local No. 192, branch 1 - (unknown) Secretary: John Brunert active 1917;",8,Baltimore,MD,Baltimore_MD,39.3051,-76.6144
Organization,1907,Industrial Workers of the World Local Chapters,"Local No. 165 - (unknown) active 1907-1908; Local No. 165 - (unknown) active 1907; Local No. 56 - (unknown) active 1907; Local No. 55 - (Textile) Secretary: Wm. Swindleburst active 1907-1910; Local No. 55 - (unknown) active 1907; Local No. 157 - (Textile) Secretary: Wm. Yates (1909), Walter Barlow (1917) active 1907-1917; Local No. 517 - (unknown) active 1907-1908; Local No. 21 - (Textile) Chartered 1907 active 1907; - (unknown) Chartered 06/1907 active 1907; Local No. 98 - (unknown) active 1907-1908; Local No. 320 - (unknown) active 1907; Local No. 60 - (unknown) active 1907; Local No. 20 - (Textile) Secretary: Joseph Tuminowsky (1915) , C.G. Smith (1909), Seph Temineski (1917) active 1909-1917; Local No. 436 Lithuanian Branch 1 - (Textile) Secretary: G. Coppens active 1909-1917; Local No. 436 Greek Branch - (Textile) active 1910; Local No. 157, Italian Branch - (Textile) active 1910; Local No. 424 - (Textile) active 1911; Local No. 557 - (Piano) active 1912; Local No. 161 - (Textile) active 1912; Local No. 169 - (Textile) active 1912; - Italian Propaganda League (Propaganda) active 1914; Local No. 2 - (Marine transport) active 1914; Propaganda League - (mixed local) Secretary: J F. Mason active 1914-1917; Local No. 204 - (Textile) active 1914; Local No. 205 - (Textile) Secretary: W.J. Banorowsky active 1914-1915; Local No. 209 - (Machinists) active 1914; Local No. 190 - (Textile) active 1914; Local No. 34 Branch 2 - (mixed local) Secretary: Ottis F. Coffin active 1914-1917; Local No. 34 Branch 1 - (mixed local) Secretary: Alan Cran active 1914-1917; Local No. 34 Branch 2 - (mixed local) active 1914; - Boston Propaganda League (Propaganda) active 1915; Local No. 324 - General Laborers' Industrial Union (mixed local) active 1915; Local No. 265 - Railroad Shop Workers' Industrial Union (Railroad) Secretary: Salvatore D'Amico active 1915-1917; Local No. 167 - Cotton Workers' Industrial Union (Agriculture) active 1915; Local No. 617 - (Shoes) Not officially recognized by the IWW. active 1916; Local No.436 Portuguese Branch 2 - (Textile) active 1916; Local No. 358 - Textile Workers' Industrial Union (Textile) active 1916; Local No. 384 - (unknown) Secretary: Michele D. Orfane active 1917; - Brookline Propaganda (Propaganda) Secretary: J. F. Mason active 1917; Local No. 206 - (unknown) Secretary: J. S. Weznek active 1917; Local No. 206 - (unknown) Secretary: W.J. Bawerovsky active 1917; Local No. 583 - (unknown) Secretary: Ettor Gerundo active 1917; Local No. 470 - Rubber Workers' Industrial Union (Rubber) active 1919; - Springfield Recruiting Union (mixed local) active 1919;",44,Boston,MA,Boston_MA,42.3188,-71.0846
Organization,1907,Industrial Workers of the World Local Chapters,"Local No. 159 - (unknown) active 1907-1908; Local No. 25 - (Car and foundry workers) active 1907; Local No. 4 - (Machinists) active 1907; unknown - (Metal workers) active 1909-1910; unknown - (mixed local) active 1909-1910; Local No. 62 - (mixed local) active 1910-1914; Local No. 202 - (Furniture) active 1910; Local No. 4 - Metal and Machinery Workers' Industrial Union (Metal and Machinery) active 1910; Local No. 16 - (Automobile) active 1911-1915; Local No. 16 Branch 2 - (Automobile) Chartered 10/1911 active 1911-1914; Local No. 62 branch 2 - (unknown) Hungarian active 1911-1912; Local No. 292 - (unknown) active 1911; Local No. 16 Branch 1 - (mixed local) Secretary: B. F. Boyle active 1914-1917; Local No. 16 Branch 3 - (mixed local) Secretary: John Lasdauskas active 1914-1917; Local No. 26 - (Automobile) active 1914; Local No. 551 - (Automobile) active 1914; Local No. 551 Branch 1 - (Automobile) active 1914; Local No. 551 Branch 2 - (Automobile) active 1914; Local No. 603 - (Food) active 1914; Local No. 117 - Shoe Workers' Industrial Union (Shoes) Established in early 1916.; Secretary: A. Cohen active 1916-1917""; Local No. 464 - Alkali & Chemical Workers' Industrial Union (Chemical) active 1916; Local No. 605 - (Recruiting) active 1916; Local No. 63 branch 2 - (unknown) Secretary: John Barthak active 1917; Local No. 1100 - Hotel, Restaurant, and Domestic Workers' Industrial Union (Hotel, Restaurant, and Domestic) active 1919; Local No. 300 - Metal and Machinery Workers' Industrial Union (Metal and machinery) active 1919;",25,Detroit,MI,Detroit_MI,42.3834,-83.1024
Organization,1906,Industrial Workers of the World Local Chapters,"Local No. 307 - (mixed local) active 1906-914; Local No. 529 - (unknown) active 1907; Local No. 76 - (unknown) active 1907-1908; Local No. 351 - (unknown) active 1907; Local No. 47 - (Public service) active 1907-1908; Local No. 552 - (unknown) active 1907; Local No. 14 - (Transportation) active 1907-1908; Local No. 356 - (unknown) active 1907; Local No. 400 - (Metal and machinery) active 1907; Local No. 176 - (unknown) active 1907; Local No. 407 - (unknown) active 1908; Local No. 424 - (unknown) Secretary: W. Free active 1909-1910; unknown - (Lumber) active 1909-1910; Local No. 64 - (mixed local) Secretary: Charles Gray (1915), C.H. Fisher (1909), C.W. Anderson (1917) active 1909-1917; Local No. 137 - (unknown) Secretary: Peter Johnson active 1910-1912; Local No. 383 - (unknown) Polish active 1910-1911; Local No. 64 Branch 2 - (unknown) active 1910; Local No. 68 - (unknown) active 1911-1913; Local No. 69 - (unknown) active 1913; Local No. 221 - (mixed local) active 1913-1914; Local No. 126 - (mixed local) Secretary: Elmer Stonewall active 1914-1917; Local No. 500 - (Transportation) active 1914; Local No. 490 - (mining-metals) active 1916; Local No. 490 - Biwabik Branch (mining-metals) active 1916; Local No. 490 - Buhl Branch (mining-metals) active 1916; Local No. 490 - Chisholm Branch (mining-metals) active 1916; Local No. 490 - Crosby Branch (mining-metals) active 1916; Local No. 245 - Marine Transport Workers' Industrial Union (Marine transport) active 1916; Local No. 490 - Metal Mine Workers' Industrial Union (mining-metals) The Mesabi Range strike grew this local into five branches and continued Finnish radical activity in the area drew an additional 5000 members in 1917. active 1916-1917; Local No. 490 - Eveleth Branch (mining-metals) active 1916; Local No. 490 - Gilbert Branch (mining-metals) active 1916; Local No. 490 - Hibbing Branch (mining-metals) active 1916; Local No. 490 - Kinney Branch (mining-metals) active 1916; Local No. 490 - Metal Mine Workers' Industrial Union (mining-metals) active 1916; Local No. 573 - Construction Workers' Industrial Union (Construction) active 1916-1917; Local No. 490 - Virginia Branch (mining-metals) active 1916; - Scandinavian Propaganda League (Propaganda) Secretary: Helge Millburg active 1917; A.W.O. 400 - Agricultural Workers' Organization No. 400 (Agriculture) W. T. Nef active 1917; Local No. 1100 - Hotel, Restaurant, and Domestic Workers' Industrial Union (Hotel, Restaurant, and Domestic) active 1919; Local No. 600 - Railroad Workers' Industrial Union (Railroad) active 1919; Local No. 800 - Metal Mine Workers' Industrial Union (mining-metals) active 1919;",41,St. Paul,MN,St. Paul_MN,44.9477,-93.104
